Valgdistrikt;Innbyggere pr. 1.1.2024;Areal pr. 1.1.2024 (km2)
Østfold;312152;4004
Akershus;728803;5895
Oslo;717710;454
Hedmark;202048;27398
Oppland;174256;24675
Buskerud;269819;14694
Vestfold;256432;2168
Telemark;177093;15298
Aust-Agder;122968;9155
Vest-Agder;196882;7278
Rogaland;499417;9377
Hordaland;541875;15438
Sogn og Fjordane;109424;18433
Møre og Romsdal;270624;14356
Sør-Trøndelag;347516;20258
Nord-Trøndelag;135440;21945
Nordland;243081;38155
Troms Romsa;169610;26189
Finnmark Finnmárku;75053;48638
